Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,,
2024-06-25,183.14283752441406,184.02999877929688,184.2899932861328,179.4199981689453,179.6199951171875,23235600
2024-06-26,182.99356079101562,183.8800048828125,184.50999450683594,182.47999572753906,182.6300048828125,19839000
2024-06-27,184.51620483398438,185.41000366210938,186.0500030517578,184.02000427246094,184.17999267578125,18848900
2024-06-28,181.2718963623047,182.14999389648438,185.1300048828125,181.9600067138672,184.32000732421875,29156600
2024-07-01,182.10784912109375,182.99000549316406,183.8800048828125,181.3000030517578,183.02999877929688,16006100
2024-07-02,184.34701538085938,185.24000549316406,185.57000732421875,181.55999755859375,182.0500030517578,17372500
2024-07-03,184.92420959472656,185.82000732421875,186.08999633789062,184.0,184.85000610351562,10242100
2024-07-05,189.68116760253906,190.60000610351562,190.86000061035156,185.8000030517578,185.86000061035156,20967500
2024-07-08,188.11874389648438,189.02999877929688,190.1699981689453,187.77999877929688,189.89999389648438,21035900
2024-07-09,188.0689697265625,188.97999572753906,191.36000061035156,188.72000122070312,190.30999755859375,15121400
2024-07-10,190.25836181640625,191.17999267578125,191.75,189.02999877929688,189.14999389648438,15952500
2024-07-11,184.67543029785156,185.57000732421875,190.86000061035156,185.0800018310547,189.85000610351562,25625800
2024-07-12,184.17784118652344,185.07000732421875,187.11000061035156,184.49000549316406,185.0800018310547,22898400
2024-07-15,185.6307830810547,186.52999877929688,188.24000549316406,184.9199981689453,184.9199981689453,16474000
2024-07-16,183.0333709716797,183.9199981689453,188.67999267578125,183.3699951171875,187.36000061035156,18290700
2024-07-17,180.14735412597656,181.02000427246094,183.5500030517578,179.89999389648438,182.97000122070312,20734100
2024-07-18,176.83338928222656,177.69000244140625,182.5,176.47000122070312,181.92999267578125,25315700
2024-07-19,176.8035430908203,177.66000366210938,180.2899932861328,177.1300048828125,178.8800048828125,18881900
2024-07-22,180.79421997070312,181.6699981689453,182.6999969482422,180.22999572753906,180.58999633789062,24100300
2024-07-23,180.91363525390625,181.7899932861328,183.61000061035156,181.5399932861328,182.0500030517578,36352700
2024-07-24,171.79779052734375,172.6300048828125,176.19000244140625,171.82000732421875,173.60000610351562,49585200
2024-07-25,166.47357177734375,167.27999877929688,173.4199981689453,167.19000244140625,172.52000427246094,44852000
2024-07-26,166.1949462890625,167.0,168.08999633789062,164.05999755859375,167.14999389648438,41336900
2024-07-29,168.7127227783203,169.52999877929688,170.42999267578125,167.99000549316406,168.8300018310547,20293800
2024-07-30,169.4690704345703,170.2899932861328,171.22999572753906,168.44000244140625,170.24000549316406,18959700
2024-07-31,170.71304321289062,171.5399932861328,174.25,170.00999450683594,173.24000549316406,25729100
2024-08-01,169.9368133544922,170.75999450683594,174.0500030517578,168.8800048828125,170.25,24531400
2024-08-02,165.85658264160156,166.66000366210938,168.50999450683594,164.6699981689453,166.44000244140625,29130100
2024-08-05,158.4822998046875,159.25,164.42999267578125,154.92999267578125,155.5,53630700
2024-08-06,157.52691650390625,158.2899932861328,160.57000732421875,156.41000366210938,159.3300018310547,49004600
2024-08-07,158.17379760742188,158.94000244140625,162.97999572753906,158.47000122070312,161.25,25138600
2024-08-08,161.24888610839844,162.02999877929688,163.69000244140625,160.2100067138672,160.50999450683594,25578800
2024-08-09,162.8809814453125,163.6699981689453,163.7899932861328,159.05999755859375,160.00999450683594,28602300
2024-08-12,161.5076446533203,162.2899932861328,164.89999389648438,161.83999633789062,164.35000610351562,15895300
2024-08-13,163.36863708496094,164.16000366210938,164.72999572753906,162.97000122070312,163.41000366210938,18551700
2024-08-14,159.59689331054688,160.3699951171875,163.22000122070312,157.7100067138672,162.39999389648438,40591100
2024-08-15,160.5224151611328,161.3000030517578,161.63999938964844,159.61000061035156,160.5,31524300
2024-08-16,162.17442321777344,162.9600067138672,165.05999755859375,161.1300048828125,161.47000122070312,24208600
2024-08-19,165.8665313720703,166.6699981689453,166.69000244140625,164.25999450683594,165.27999877929688,22416200
2024-08-20,166.37405395507812,167.17999267578125,168.63999938964844,166.82000732421875,166.89999389648438,18341500
2024-08-21,165.0504913330078,165.85000610351562,166.85000610351562,164.6699981689453,165.14999389648438,22902000
2024-08-22,163.01036071777344,163.8000030517578,167.58999633789062,163.30999755859375,167.25999450683594,22493300
2024-08-23,164.8215789794922,165.6199951171875,166.17999267578125,163.8300018310547,164.72000122070312,13955700
2024-08-26,165.35897827148438,166.16000366210938,167.5500030517578,164.4600067138672,166.3800048828125,14190400
2024-08-27,163.88612365722656,164.67999267578125,166.44000244140625,164.4600067138672,165.83999633789062,11821900
2024-08-28,162.06492614746094,162.85000610351562,165.60000610351562,161.52999877929688,165.0399932861328,16407400
2024-08-29,161.00009155273438,161.77999877929688,165.97000122070312,160.25,164.30999755859375,19699800
